Date,Hour,Meal,Food,Size
09/19/18,8,Breakfast,Shake,2
09/19/18,10,Snack,Berries/Yogurt,2
09/19/18,12,Lunch,Soup/Curry,3
09/19/18,13,Snack,Apple,1
09/19/18,14,Snack,Sunflower Seeds,1
09/19/18,15,Snack,Sausage/Cheese,2
09/19/18,16,Snack,Nectarine,1
09/19/18,20,Dinner,Chicken Cacciatorre,3
09/20/18,8,Breakfast,Eggs/Bacon,3
09/20/18,10,Snack,Berries/Yogurt,2
09/20/18,12,Lunch,Chicken,2
09/20/18,13,Snack,Chocolate,1
09/20/18,14,Snack,Nectarine,1
09/20/18,15,Snack,Apple,1
09/20/18,16,Snack,Sunflower Seeds,1
09/20/18,19,Dinner,Chicken Cacciatorre,3
09/21/18,8,Breakfast,Shake,2
09/21/18,11,Snack,Mixed Nuts,1
09/21/18,12,Snack,Nectarine,1
09/21/18,13,Lunch,French Dip,3
09/21/18,14,Snack,Chocolate/Apple,1
09/21/18,20,Dinner,Steak/Grains,3
09/22/18,9,Breakfast,Eggs/Bacon,3
09/22/18,13,Lunch,Chicken/Grains,3
09/22/18,14,Snack,Apple,1
09/22/18,15,Snack,Nuts,1
09/22/18,19,Dinner,Roast Pork,3
09/22/18,20,Snack,Popcorn,1
09/22/18,22,Snack,Nectarine,1
09/23/18,9,Breakfast,Eggs/Bacon,3
09/23/18,10,Snack,Berries/Yogurt,2
09/23/18,12,Lunch,Roast Pork,3
09/23/18,13,Snack,Nuts/Nectarine,2
09/23/18,17,Snack,Apple,1
09/23/18,19,Dinner,Pizza,3
09/23/18,22,Snack,Nectarine,1
09/24/18,8,Breakfast,Shake,2
09/24/18,10,Snack,Nuts,1
09/24/18,12,Lunch,Roast Pork/Rice/Kale,3
09/24/18,13,Snack,Nectarine,1
09/24/18,14,Snack,Nectarine,1
09/24/18,15,Snack,Sausage/Cheese,2
09/24/18,18,Dinner,Pasta,3
09/24/18,22,Snack,Nectarine,1
09/25/18,7,Breakfast,Shake,2
09/25/18,9,Snack,Berries/Yogurt,2
09/25/18,11,Snack,Nuts,1